,Duration,Calories,Clean_Calories
0,60,409.1,409.1
1,60,479.0,479.0
2,60,340.0,340.0
3,45,282.4,282.4
4,45,406.0,406.0
5,60,300.0,300.0
6,60,374.0,374.0
7,45,253.3,253.3
8,30,195.1,195.1
9,60,269.0,269.0
10,60,329.3,329.3
11,60,250.7,250.7
12,60,345.3,345.3
13,60,379.3,379.3
14,60,275.0,275.0
15,60,215.2,215.2
16,60,300.0,300.0
17,45,375.79024390243916,375.79024390243916
18,60,323.0,323.0
19,45,243.0,243.0
20,60,364.2,364.2
21,45,282.0,282.0
22,60,300.0,300.0
23,45,246.0,246.0
24,60,334.5,334.5
25,60,250.0,250.0
26,60,241.0,241.0
27,60,375.79024390243916,375.79024390243916
28,60,280.0,280.0
29,60,380.3,380.3
30,60,243.0,243.0
31,45,180.1,180.1
32,60,299.0,299.0
33,60,223.0,223.0
34,60,361.0,361.0
35,60,415.0,415.0
36,60,300.0,300.0
37,60,300.0,300.0
38,60,300.0,300.0
39,45,266.0,266.0
40,45,180.1,180.1
41,60,286.0,286.0
42,60,329.4,329.4
43,60,400.0,400.0
44,60,397.0,397.0
45,60,273.0,273.0
46,60,387.6,387.6
47,45,300.0,300.0
48,45,298.0,298.0
49,60,397.6,397.6
50,60,380.2,380.2
51,80,643.1,643.1
52,60,263.0,263.0
53,60,486.0,486.0
54,30,238.0,238.0
55,60,450.7,450.7
56,60,413.0,413.0
57,45,305.0,305.0
58,20,226.4,226.4
59,45,321.0,321.0
60,210,1376.0,1376.0
61,160,1034.4,1034.4
62,160,853.0,853.0
63,45,341.0,341.0
64,20,131.4,131.4
65,180,800.4,800.4
66,150,873.4,873.4
67,150,816.0,816.0
68,20,110.4,110.4
69,300,1500.2,1500.2
70,150,1115.0,1115.0
71,60,387.6,387.6
72,90,700.0,700.0
73,150,953.2,953.2
74,45,304.0,304.0
75,90,563.2,563.2
76,45,251.0,251.0
77,45,300.0,300.0
78,120,500.4,500.4
79,270,1729.0,1729.0
80,30,319.2,319.2
81,45,344.0,344.0
82,30,151.1,151.1
83,120,500.0,500.0
84,45,225.3,225.3
85,30,300.0,300.0
86,45,234.0,234.0
87,120,1000.1,1000.1
88,45,242.0,242.0
89,20,50.3,50.3
90,180,600.1,600.1
91,45,375.79024390243916,375.79024390243916
92,30,105.3,105.3
93,15,50.5,50.5
94,20,127.4,127.4
95,20,229.4,229.4
96,30,128.2,128.2
97,25,244.2,244.2
98,30,188.2,188.2
99,90,604.1,604.1
100,20,77.7,77.7
101,90,500.0,500.0
102,90,500.0,500.0
103,90,500.4,500.4
104,30,92.7,92.7
105,30,124.0,124.0
106,180,800.3,800.3
107,30,86.2,86.2
108,90,500.3,500.3
109,210,1860.4,1860.4
110,60,325.2,325.2
111,45,275.0,275.0
112,15,124.2,124.2
113,45,225.3,225.3
114,60,367.6,367.6
115,60,351.7,351.7
116,60,443.0,443.0
117,60,277.4,277.4
118,60,375.79024390243916,375.79024390243916
119,60,332.7,332.7
120,30,193.9,193.9
121,45,100.7,100.7
122,60,336.7,336.7
123,60,344.9,344.9
124,60,368.5,368.5
125,60,271.0,271.0
126,60,275.3,275.3
127,60,382.0,382.0
128,90,466.4,466.4
129,60,384.0,384.0
130,60,342.5,342.5
131,60,357.5,357.5
132,60,335.0,335.0
133,60,327.5,327.5
134,60,339.0,339.0
135,20,189.0,189.0
136,45,317.7,317.7
137,45,318.0,318.0
138,45,308.0,308.0
139,20,222.4,222.4
140,60,390.0,390.0
141,60,375.79024390243916,375.79024390243916
142,45,250.4,250.4
143,45,335.4,335.4
144,60,470.2,470.2
145,45,270.8,270.8
146,60,400.0,400.0
147,60,361.9,361.9
148,30,185.0,185.0
149,60,409.4,409.4
150,60,343.0,343.0
151,60,353.2,353.2
152,60,374.0,374.0
153,30,275.8,275.8
154,60,328.0,328.0
155,60,368.5,368.5
156,60,270.4,270.4
157,60,270.4,270.4
158,60,382.8,382.8
159,30,240.9,240.9
160,30,250.4,250.4
161,45,260.4,260.4
162,45,270.0,270.0
163,45,280.9,280.9
164,60,290.8,290.8
165,60,300.0,300.0
166,60,310.2,310.2
167,75,320.4,320.4
168,75,330.4,330.4
